Prompt,Category
Renewed my home inverter battery.,Utilities
Purchased a laptop from Vijay Sales.,Shopping
Purchased a fitness band from Cult.fit.,Healthcare
Got fresh paneer and vegetables from the local mandi.,Groceries
Reserved a flight ticket via MakeMyTrip.,Travel
Ordered a smartwatch from Croma online.,Shopping
Bought ethnic wear from Fabindia.,Shopping
Paid for a trekking adventure in Himachal.,Entertainment
Tried out street food at Sarafa Bazaar in Indore.,Dining
Took an auto-rickshaw to the office.,Travel
Refilled CNG in my vehicle at an HP station.,Transportation
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Got a designer lehenga from Manyavar.,Shopping
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Booked an online doctor appointment via Practo.,Healthcare
Got a designer lehenga from Manyavar.,Shopping
Booked an Uber to the railway station.,Travel
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Paid the DTH recharge for Tata Sky.,Utilities
Booked an online doctor appointment via Practo.,Healthcare
Signed up for a Udemy course on Python.,Subscriptions
Had a masala dosa from Saravana Bhavan.,Dining
Ordered a smartwatch from Croma online.,Shopping
Renewed Cult.fit gym membership for six months.,Subscriptions
Took an auto-rickshaw to the office.,Travel
Signed up for a Udemy course on Python.,Subscriptions
Paid consultation fees at AIIMS Delhi.,Healthcare
Cleared municipal water tax online.,Utilities
Bought ethnic wear from Fabindia.,Shopping
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Bought a subscription to Economic Times online.,Subscriptions
Cleared municipal water tax online.,Utilities
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Reserved a flight ticket via MakeMyTrip.,Travel
Got a Kurti from Biba for an event.,Shopping
Paid for a Zee5 yearly subscription.,Subscriptions
Went to an amusement park in Essel World.,Entertainment
Watched a play at Prithvi Theatre.,Entertainment
Recharged Jio mobile plan for the month.,Utilities
Bought a silk saree from Nalli Silks.,Shopping
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Paid consultation fees at AIIMS Delhi.,Healthcare
Ordered a full South Indian thali from Swiggy.,Dining
Hired an Ola cab for an outstation trip.,Travel
Paid for a train sleeper class ticket on IRCTC.,Travel
Had a dental cleaning session at Clove Dental.,Healthcare
Booked an online doctor appointment via Practo.,Healthcare
Purchased health insurance from HDFC Ergo.,Healthcare
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Paid for a Zee5 yearly subscription.,Subscriptions
Made an early EMI payment for home loan.,Rent
Ordered a smartwatch from Croma online.,Shopping
Settled the maintenance charges for my society.,Utilities
Renewed my YouTube Premium plan.,Subscriptions
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Went to an amusement park in Essel World.,Entertainment
Had a masala dosa from Saravana Bhavan.,Dining
Paid my LPG gas bill for Indane.,Utilities
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Paid rent for my co-living space at Zolo.,Rent
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Got a Kurti from Biba for an event.,Shopping
Recharged my FASTag for highway travel.,Transportation
Got eye checkup and glasses from Lenskart.,Healthcare
Renewed Cult.fit gym membership for six months.,Subscriptions
Tried out street food at Sarafa Bazaar in Indore.,Dining
Paid for a trekking adventure in Himachal.,Entertainment
Bought gold jewelry from Tanishq.,Shopping
Rented a self-drive Zoomcar for a weekend trip.,Travel
Attended a music concert at NSCI Dome.,Entertainment
Ordered a full South Indian thali from Swiggy.,Dining
Hired an Ola cab for an outstation trip.,Travel
Renewed my YouTube Premium plan.,Subscriptions
Made an early EMI payment for home loan.,Rent
Settled the maintenance charges for my society.,Utilities
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Had a dental cleaning session at Clove Dental.,Healthcare
Paid for car parking at Phoenix Mall.,Transportation
Paid electricity bill via Paytm.,Utilities
Paid additional maintenance charges for my rented house.,Rent
Paid for car parking at Phoenix Mall.,Transportation
Booked an Uber to the railway station.,Travel
Ordered grocery essentials from Jiomart online.,Groceries
Booked a Volvo bus to Bangalore via RedBus.,Travel
Picked up sportswear from Decathlon.,Shopping
Upgraded my Netflix plan to premium.,Subscriptions
Renewed my home inverter battery.,Utilities
Ordered grocery essentials from Jiomart online.,Groceries
Settled rental agreement paperwork costs.,Rent
Paid additional maintenance charges for my rented house.,Rent
Had a dental cleaning session at Clove Dental.,Healthcare
Bought ethnic wear from Fabindia.,Shopping
Got fresh paneer and vegetables from the local mandi.,Groceries
Paid the DTH recharge for Tata Sky.,Utilities
Picked up sportswear from Decathlon.,Shopping
Purchased a laptop from Vijay Sales.,Shopping
Paid consultation fees at AIIMS Delhi.,Healthcare
Recharged my FASTag for highway travel.,Transportation
Paid rent for my co-living space at Zolo.,Rent
Paid the BSNL landline bill.,Utilities
Went for a fine dining experience at Taj Vivanta.,Dining
Refueled my car at an Indian Oil petrol pump.,Transportation
Paid my LPG gas bill for Indane.,Utilities
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Paid rent for my co-living space at Zolo.,Rent
Went to an amusement park in Essel World.,Entertainment
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Got a designer lehenga from Manyavar.,Shopping
Subscribed to Gaana Plus for ad-free music.,Subscriptions
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Took an e-rickshaw ride in Delhi.,Transportation
Bought first-aid essentials from MedPlus.,Healthcare
Bought a Delhi Metro smart card recharge.,Travel
Ordered biryani from Paradise Biryani House.,Dining
Paid PG accommodation fees via NoBroker.,Rent
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Recharged my FASTag for highway travel.,Transportation
Took an e-rickshaw ride in Delhi.,Transportation
Transferred rent to the landlord via Google Pay.,Rent
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Cleared monthly rent through UPI transfer.,Rent
Bought an AC chair car ticket from IRCTC.,Travel
Bought a gaming mouse from Flipkart.,Entertainment
Booked a Volvo bus to Bangalore via RedBus.,Travel
Ordered a full South Indian thali from Swiggy.,Dining
Cleared municipal water tax online.,Utilities
Got a Kurti from Biba for an event.,Shopping
Renewed Cult.fit gym membership for six months.,Subscriptions
Paid consultation fees at AIIMS Delhi.,Healthcare
Paid for a train sleeper class ticket on IRCTC.,Travel
Paid my LPG gas bill for Indane.,Utilities
Paid for a Zee5 yearly subscription.,Subscriptions
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Had chai and samosas at a local tea stall.,Dining
Renewed my Tata Sky DTH subscription.,Subscriptions
Ordered a pair of sneakers from Flipkart.,Shopping
Booked an Uber to the railway station.,Travel
Purchased health insurance from HDFC Ergo.,Healthcare
Purchased health insurance from HDFC Ergo.,Healthcare
Got a designer lehenga from Manyavar.,Shopping
Attended a stand-up comedy show in Mumbai.,Entertainment
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Ordered chaat and golgappa from a famous local vendor.,Dining
Paid for an annual membership of Times of India e-paper.,Subscriptions
Ordered a smartwatch from Croma online.,Shopping
Bought gold jewelry from Tanishq.,Shopping
Signed up for a Udemy course on Python.,Subscriptions
Made an early EMI payment for home loan.,Rent
Bought organic groceries from Nature’s Basket.,Groceries
Paid PG accommodation fees via NoBroker.,Rent
Recharged my FASTag for highway travel.,Transportation
Paid for a trekking adventure in Himachal.,Entertainment
Picked up sportswear from Decathlon.,Shopping
Got eye checkup and glasses from Lenskart.,Healthcare
Paid for car parking at Phoenix Mall.,Transportation
Purchased a Kindle book from Amazon.,Entertainment
Paid rent for my co-living space at Zolo.,Rent
Bought an annual Amazon Prime membership.,Subscriptions
Tried out street food at Sarafa Bazaar in Indore.,Dining
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Settled the maintenance charges for my society.,Utilities
Ordered biryani from Paradise Biryani House.,Dining
Went to an amusement park in Essel World.,Entertainment
Bought an annual Amazon Prime membership.,Subscriptions
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Purchased a fitness band from Cult.fit.,Healthcare
Paid my LPG gas bill for Indane.,Utilities
Paid for a trekking adventure in Himachal.,Entertainment
Got a designer lehenga from Manyavar.,Shopping
Paid for excess baggage at Mumbai Airport.,Travel
Paid security deposit for a new flat in Pune.,Rent
Paid the BSNL landline bill.,Utilities
Cleared my Airtel broadband bill.,Utilities
Bought a Delhi Metro smart card recharge.,Travel
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Ordered a pair of sneakers from Flipkart.,Shopping
Watched a play at Prithvi Theatre.,Entertainment
Bought a subscription to Economic Times online.,Subscriptions
Renewed my home inverter battery.,Utilities
Paid for a Zee5 yearly subscription.,Subscriptions
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Transferred rent to the landlord via Google Pay.,Rent
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Paid PG accommodation fees via NoBroker.,Rent
Attended a stand-up comedy show in Mumbai.,Entertainment
Got a Kurti from Biba for an event.,Shopping
Ordered a full South Indian thali from Swiggy.,Dining
Signed up for a Udemy course on Python.,Subscriptions
Settled rental agreement paperwork costs.,Rent
Bought an AC chair car ticket from IRCTC.,Travel
Bought first-aid essentials from MedPlus.,Healthcare
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Paid my LPG gas bill for Indane.,Utilities
Got eye checkup and glasses from Lenskart.,Healthcare
Paid the BSNL landline bill.,Utilities
Paid my LPG gas bill for Indane.,Utilities
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Bought a monthly metro pass for Chennai Metro.,Transportation
Purchased a Kindle book from Amazon.,Entertainment
Paid PG accommodation fees via NoBroker.,Rent
Attended a music concert at NSCI Dome.,Entertainment
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Went for a fine dining experience at Taj Vivanta.,Dining
Cleared monthly rent through UPI transfer.,Rent
Purchased a laptop from Vijay Sales.,Shopping
Renewed my home inverter battery.,Utilities
Renewed my home inverter battery.,Utilities
Stopped by a local kirana shop for daily essentials.,Groceries
Bought ethnic wear from Fabindia.,Shopping
Picked up sportswear from Decathlon.,Shopping
Booked an Uber to the railway station.,Travel
Bought organic groceries from Nature’s Basket.,Groceries
Booked an online doctor appointment via Practo.,Healthcare
Paid security deposit for a new flat in Pune.,Rent
Bought a subscription to Economic Times online.,Subscriptions
Booked an auto ride via Rapido.,Transportation
Paid PG accommodation fees via NoBroker.,Rent
Bought a monthly metro pass for Chennai Metro.,Transportation
Rented a self-drive Zoomcar for a weekend trip.,Travel
Got a designer lehenga from Manyavar.,Shopping
Got eye checkup and glasses from Lenskart.,Healthcare
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Bought a monthly metro pass for Chennai Metro.,Transportation
Bought first-aid essentials from MedPlus.,Healthcare
Renewed my YouTube Premium plan.,Subscriptions
Bought a Delhi Metro smart card recharge.,Travel
Refueled my car at an Indian Oil petrol pump.,Transportation
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Hired an Ola cab for an outstation trip.,Travel
Settled rental agreement paperwork costs.,Rent
Picked up sportswear from Decathlon.,Shopping
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Watched a play at Prithvi Theatre.,Entertainment
Had a dosa and filter coffee at MTR Bangalore.,Dining
Bought a silk saree from Nalli Silks.,Shopping
Rented a self-drive Zoomcar for a weekend trip.,Travel
Got a designer lehenga from Manyavar.,Shopping
Bought a Delhi Metro smart card recharge.,Travel
Settled rental agreement paperwork costs.,Rent
Refueled my car at an Indian Oil petrol pump.,Transportation
Had a masala dosa from Saravana Bhavan.,Dining
Signed up for a Udemy course on Python.,Subscriptions
Bought a Delhi Metro smart card recharge.,Travel
Took an auto-rickshaw to the office.,Travel
Ordered chaat and golgappa from a famous local vendor.,Dining
Took an auto-rickshaw to the office.,Travel
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Purchased a fitness band from Cult.fit.,Healthcare
Renewed my YouTube Premium plan.,Subscriptions
Booked an Uber to the railway station.,Travel
Booked a Volvo bus to Bangalore via RedBus.,Travel
Paid rent for my co-living space at Zolo.,Rent
Settled lease extension fees for my flat.,Rent
Bought ethnic wear from Fabindia.,Shopping
Bought gold jewelry from Tanishq.,Shopping
Had a masala dosa from Saravana Bhavan.,Dining
Had a dental cleaning session at Clove Dental.,Healthcare
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Attended a stand-up comedy show in Mumbai.,Entertainment
Paid PG accommodation fees via NoBroker.,Rent
Recharged Jio mobile plan for the month.,Utilities
